seed,candidate_id,candidate_group,layer,head,family,example_id,heldout_family_type,intervention,intervention_status,position_label,position_status,head_specific_patch,actual_patch_scope,metric,clean_score,corrupt_score,patched_score,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt,source_run,inspection_bucket
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0017,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.344724655151367,2.031547690823586,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
10,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0005,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.344724655151367,2.031547690823586,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_word_sequences,heldout_word_sequences_0015,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,1.8854169845581052,2.0148305892944336,1.8788061141967771,1.0510832719233605,ok, west, north,north south east west north south east,north south east west east north south south,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0000,positive,head_zero_ablation,ok,previous_occurrence,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.445474624633789,1.0114465267646728,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_zero_ablation,ok,previous_occurrence,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.445474624633789,1.0114465267646728,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0020,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,4.0797271728515625,0.7509214017124853,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0022,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,4.071709632873535,0.7247738094867832,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_word_sequences,heldout_word_sequences_0009,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,-0.6232089996337891,-0.8471832275390625,-0.7019615173339844,0.6483858056494674,ok, south, east,east west north south east west north,east west north south north east west west,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0022,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,3.996830940246582,0.4805720310648449,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0020,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,3.996830940246582,0.4805720310648449,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_002,replicated_candidate,7,11,heldout_word_sequences,heldout_word_sequences_0011,positive,head_zero_ablation,ok,previous_occurrence,ok,True,single_head_z,true_vs_control_logit_diff,0.992328643798828,-0.0760002136230468,0.3560028076171875,0.4043726968891936,ok, winter, spring,spring summer autumn winter spring summer autumn,spring summer autumn winter autumn spring summer summer,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_word_sequences,heldout_word_sequences_0010,positive,head_zero_ablation,ok,previous_occurrence,ok,True,single_head_z,true_vs_control_logit_diff,0.992328643798828,-0.0760002136230468,0.3560028076171875,0.4043726968891936,ok, winter, spring,spring summer autumn winter spring summer autumn,spring summer autumn winter autumn spring summer summer,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
11,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0000,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.725210189819336,-7.217820671080687,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_failure
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.721321105957031,-7.103411513859276,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_failure
12,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.717996597290039,-7.005611042531703,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_failure
11,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0000,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.717996597290039,-7.005611042531703,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_failure
10,heldout_cand_002,replicated_candidate,7,11,heldout_symbolic_longer,heldout_symbolic_longer_0005,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,3.5655689239501958,-4.125783793560834,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_failure
