counterexample_type,seed,candidate_id,candidate_group,layer,head,family,heldout_family_type,example_id,token_domain,sequence_length_bucket,intervention,position_label,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt
strongest_positive_success,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_zero_ablation,final,0.3926729013785702,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_mean_ablation,final,0.2624815092588372,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,0.1265612459282622,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_success,22,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,0.1265612459282622,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_success,20,heldout_cand_001,replicated_candidate,9,11,char_word_short,positive,char_word_short_0001,word,short,head_zero_ablation,final,0.1148976243721816,ok, iron, copper,copper silver gold iron copper silver gold,copper silver gold iron gold silver copper
strongest_positive_success,22,heldout_cand_001,replicated_candidate,9,11,char_word_short,positive,char_word_short_0004,word,short,head_zero_ablation,final,0.1148976243721816,ok, iron, copper,copper silver gold iron copper silver gold,copper silver gold iron gold silver copper
strongest_positive_success,22,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_mean_ablation,final,0.1082516028634975,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_success,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_mean_ablation,final,0.1059043197732246,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,-0.6541625062750658,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,-0.5471085048517981,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_zero_ablation,final,-0.1235224215138326,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
strongest_positive_failure,21,heldout_cand_001,replicated_candidate,9,11,char_word_short,positive,char_word_short_0007,word,short,head_zero_ablation,final,-0.060844128483716,ok, gold, iron,iron copper silver gold iron copper silver,iron copper silver gold silver copper iron
strongest_positive_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_clean_to_corrupt_patch,final,-0.0575709485076884,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_failure,21,heldout_cand_001,replicated_candidate,9,11,char_word_short,positive,char_word_short_0007,word,short,head_mean_ablation,final,-0.0559090743879307,ok, gold, iron,iron copper silver gold iron copper silver,iron copper silver gold silver copper iron
strongest_positive_failure,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_clean_to_corrupt_patch,final,-0.0477510856910985,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
strongest_positive_failure,20,heldout_cand_001,replicated_candidate,9,11,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,-0.0452719752736177,ok, north, south,south east west north south east west,south east west north west east south
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_reversed_control,control,char_reversed_control_0003,symbolic,short,head_zero_ablation,final,0.4538429753410573,ok, Q, R,K L M J K L M,R N P Q P N R
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_reversed_control,control,char_reversed_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,0.2058089558260371,ok, Q, R,K L M J K L M,R N P Q P N R
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_reversed_control,control,char_reversed_control_0003,symbolic,short,head_mean_ablation,final,0.1351410267672676,ok, Q, R,K L M J K L M,R N P Q P N R
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_clean_to_corrupt_patch,final,0.0591409443573855,ok, N, P,B C D A B C D,P Q R N P Q R
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0009,symbolic,short,head_clean_to_corrupt_patch,final,0.0380117056688691,ok, F, G,D A B C D A B,G H E F G H E
control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_mean_ablation,final,0.0364041960789951,ok, N, P,B C D A B C D,P Q R N P Q R
control_moved,21,heldout_cand_001,replicated_candidate,9,11,char_reversed_control,control,char_reversed_control_0009,symbolic,short,head_zero_ablation,final,0.0363638563676746,ok, C, D,D A B C D A B,D A B C B A D
control_moved,21,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_mean_ablation,final,0.0203601325652732,ok, N, P,N P Q R N P Q,P Q R N P Q R
wrong_target_control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_clean_to_corrupt_patch,final,0.0591409443573855,ok, N, P,B C D A B C D,P Q R N P Q R
wrong_target_control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0009,symbolic,short,head_clean_to_corrupt_patch,final,0.0380117056688691,ok, F, G,D A B C D A B,G H E F G H E
wrong_target_control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_mean_ablation,final,0.0364041960789951,ok, N, P,B C D A B C D,P Q R N P Q R
wrong_target_control_moved,21,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_mean_ablation,final,0.0203601325652732,ok, N, P,N P Q R N P Q,P Q R N P Q R
wrong_target_control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0007,symbolic,short,head_zero_ablation,final,0.0159472910152902,ok, C, D,A B C D A B C,D A B C D A B
wrong_target_control_moved,21,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0002,symbolic,short,head_clean_to_corrupt_patch,final,0.0115898182479925,ok, G, H,F G H E F G H,H E F G H E F
wrong_target_control_moved,20,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0011,symbolic,short,head_mean_ablation,final,0.01077106463633,ok, R, N,M J K L M J K,N P Q R N P Q
wrong_target_control_moved,22,heldout_cand_001,replicated_candidate,9,11,char_target_swap_control,control,char_target_swap_control_0007,symbolic,short,head_mean_ablation,final,0.0095274520206391,ok, C, D,A B C D A B C,D A B C D A B
token_domain_or_length_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,-0.6541625062750658,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,-0.5471085048517981,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_zero_ablation,final,-0.1235224215138326,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
token_domain_or_length_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_clean_to_corrupt_patch,final,-0.0575709485076884,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
token_domain_or_length_failure,20,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_clean_to_corrupt_patch,final,-0.0477510856910985,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
token_domain_or_length_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0008,symbolic,medium,head_zero_ablation,final,-0.0387552594761083,ok, zero, four,four one two three zero four one two three four three,four one two three zero three two one four
token_domain_or_length_failure,21,heldout_cand_001,replicated_candidate,9,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,-0.0376503947085335,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,20,heldout_cand_001,replicated_candidate,9,11,char_number_short,positive,char_number_short_0003,number,short,head_zero_ablation,final,-0.0320788029019413,ok, one, two,two three four one two three four,two three four one four three two
