head_label,candidate_id,candidate_group,source_file,counterexample_type,seed,family,heldout_family_type,token_domain,sequence_length_bucket,intervention,position_label,effect_size,failure_mode,reason
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,3.9638556118503088,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,3.9638556118503088,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,22,char_reversed_control,control,symbolic,short,head_zero_ablation,final,2.329712146819206,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,22,char_reversed_control,control,symbolic,short,head_zero_ablation,final,2.329712146819206,reversed_control_leak,A reversed-order control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,1.3437189260855154,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,1.3437189260855154,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,21,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.5033469222103996,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,21,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.5033469222103996,reversed_control_leak,A reversed-order control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.2100904040781478,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.2100904040781478,reversed_control_leak,A reversed-order control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.1971228789402819,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.1971228789402819,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,22,char_reversed_control,control,symbolic,short,head_mean_ablation,final,0.1854849193967758,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,22,char_reversed_control,control,symbolic,short,head_mean_ablation,final,0.1854849193967758,reversed_control_leak,A reversed-order control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.1497878090003429,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,control_moved,20,char_reversed_control,control,symbolic,short,head_zero_ablation,final,0.1497878090003429,reversed_control_leak,A reversed-order control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,3.9638556118503088,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,3.9638556118503088,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,1.3437189260855154,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,1.3437189260855154,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.1971228789402819,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,20,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.1971228789402819,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,22,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.140251007468791,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,22,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.140251007468791,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.0952704307271398,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.0952704307271398,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,0.0412988504787838,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,0.0412988504787838,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,22,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.0317189898612329,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,22,char_target_swap_control,control,symbolic,short,head_zero_ablation,final,0.0317189898612329,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,0.0278847167408407,control_moved,A control row had positive intervention effect.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,wrong_target_control_moved,21,char_target_swap_control,control,symbolic,short,head_mean_ablation,final,0.0278847167408407,target_swap_leak,A wrong-target or target-swap control moved.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,token_domain_or_length_failure,21,char_multi_distractor,positive,symbolic,medium,head_zero_ablation,final,-3.7637761828843774,domain_flip,Effect direction disagreed across token domains.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,token_domain_or_length_failure,21,char_multi_distractor,positive,symbolic,medium,head_zero_ablation,final,-3.7637761828843774,length_flip,Effect direction disagreed across sequence lengths.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,token_domain_or_length_failure,21,char_multi_distractor,positive,symbolic,medium,head_zero_ablation,previous_occurrence,-1.3752958245298528,domain_flip,Effect direction disagreed across token domains.
L0H8,heldout_cand_004,replicated_candidate,/home/home/p/g/n/learning_2/learning/ml_research/local-mi-lab/reports/head_specific_candidate_characterization_v1/counterexamples/counterexamples_L0H8.csv,token_domain_or_length_failure,21,char_multi_distractor,positive,symbolic,medium,head_zero_ablation,previous_occurrence,-1.3752958245298528,length_flip,Effect direction disagreed across sequence lengths.
