example_id,task,family,prompt,true_expected_next_token,wrong_or_control_token,expected_next_token,token_domain,sequence_length_bucket,should_show_induction_behavior,expected_behavior,control_rationale,true_token_id,control_token_id,validation_status,validation_error,metric_status,target_logit,control_logit,true_vs_control_logit_diff,target_probability,control_probability,probability_gap,target_rank,control_rank
calib_clean_repeat_symbolic_symbolic_short_00,induction_metric_calibration,calib_clean_repeat_symbolic,A B C D A B C, D, A, D,symbolic,short,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,360,317,ok,,ok,17.246410369873047,14.262436866760254,2.983973503112793,0.47056852496593915,0.023806724628119454,0.4467618003378197,1,5
calib_clean_repeat_format_variant_symbolic_short_00,induction_metric_calibration,calib_clean_repeat_format_variant,"A B C D
A B C", D, A, D,symbolic,short,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,360,317,ok,,ok,18.543184280395508,12.89277172088623,5.650412559509277,0.8681309305531857,0.0030524055523005324,0.8650785250008851,1,7
calib_wrong_target_same_prompt_symbolic_short_00,induction_metric_calibration,calib_wrong_target_same_prompt,A B C D A B C, A, D, A,symbolic,short,False,low_true_vs_control_logit_diff,Same prompt but scored against a deliberately wrong target.,317,360,ok,,ok,14.262436866760254,17.246410369873047,-2.983973503112793,0.023806724628119454,0.47056852496593915,-0.4467618003378197,5,1
calib_target_swap_control_symbolic_short_00,induction_metric_calibration,calib_target_swap_control,A B C D A B C, B, D, B,symbolic,short,False,low_true_vs_control_logit_diff,Same prompt with target swapped to another sequence token.,347,360,ok,,ok,12.98697280883789,17.246410369873047,-4.259437561035156,0.006649249759919064,0.47056852496593915,-0.4639192752060201,9,1
calib_same_token_frequency_control_symbolic_short_00,induction_metric_calibration,calib_same_token_frequency_control,A B C D C A B, D, A, D,symbolic,short,False,low_true_vs_control_logit_diff,Approximate token counts preserved without repeated-prefix structure.,360,317,ok,,ok,16.190811157226562,13.498627662658691,2.692183494567871,0.25299316775982245,0.017135956734871553,0.23585721102495089,2,8
calib_reversed_order_control_symbolic_short_00,induction_metric_calibration,calib_reversed_order_control,A B C D C B A, D, A, D,symbolic,short,False,low_true_vs_control_logit_diff,Repeated material appears in reversed order.,360,317,ok,,ok,17.371517181396484,13.92837142944336,3.443145751953125,0.32998946919865474,0.010547775561916694,0.319441693636738,1,9
calib_no_repeat_control_symbolic_short_00,induction_metric_calibration,calib_no_repeat_control,A B C D X Y Z, D, A, D,symbolic,short,False,low_true_vs_control_logit_diff,Same initial vocabulary followed by distractors and no repeated prefix.,360,317,ok,,ok,10.51028823852539,14.793599128723145,-4.283310890197754,0.0005221244033146287,0.03784358539810349,-0.037321460994788856,58,3
calib_frequency_trap_control_symbolic_short_00,induction_metric_calibration,calib_frequency_trap_control,A B C D D D D, D, A, D,symbolic,short,False,low_true_vs_control_logit_diff,Expected token frequency is high without the target induction structure.,360,317,ok,,ok,14.983976364135742,14.133804321289062,0.8501720428466797,0.022939569602428076,0.009803027894642838,0.013136541707785238,2,5
calib_clean_repeat_symbolic_symbolic_medium_01,induction_metric_calibration,calib_clean_repeat_symbolic,E F G H I E F G H, I, E, I,symbolic,medium,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,314,412,ok,,ok,19.447933197021484,15.598670959472656,3.849262237548828,0.8279922535155615,0.017632460697817303,0.8103597928177442,1,3
calib_clean_repeat_format_variant_symbolic_medium_01,induction_metric_calibration,calib_clean_repeat_format_variant,"E F G H I
E F G H", I, E, I,symbolic,medium,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,314,412,ok,,ok,21.035072326660156,14.961956977844238,6.073115348815918,0.8817834497480672,0.0020316152274535188,0.8797518345206137,1,9
calib_wrong_target_same_prompt_symbolic_medium_01,induction_metric_calibration,calib_wrong_target_same_prompt,E F G H I E F G H, E, I, E,symbolic,medium,False,low_true_vs_control_logit_diff,Same prompt but scored against a deliberately wrong target.,412,314,ok,,ok,15.598670959472656,19.447933197021484,-3.849262237548828,0.017632460697817303,0.8279922535155615,-0.8103597928177442,3,1
calib_target_swap_control_symbolic_medium_01,induction_metric_calibration,calib_target_swap_control,E F G H I E F G H, F, I, F,symbolic,medium,False,low_true_vs_control_logit_diff,Same prompt with target swapped to another sequence token.,376,314,ok,,ok,13.575128555297852,19.447933197021484,-5.872804641723633,0.0023307710998290722,0.8279922535155615,-0.8256614824157325,15,1
calib_same_token_frequency_control_symbolic_medium_01,induction_metric_calibration,calib_same_token_frequency_control,E F G H I H E F, I, E, I,symbolic,medium,False,low_true_vs_control_logit_diff,Approximate token counts preserved without repeated-prefix structure.,314,412,ok,,ok,14.289878845214844,14.539605140686035,-0.2497262954711914,0.02010177320254936,0.025804124040318697,-0.005702350837769338,5,3
calib_reversed_order_control_symbolic_medium_01,induction_metric_calibration,calib_reversed_order_control,E F G H I H G F E, I, E, I,symbolic,medium,False,low_true_vs_control_logit_diff,Repeated material appears in reversed order.,314,412,ok,,ok,14.343863487243652,15.337577819824219,-0.9937143325805664,0.019151009712399292,0.05173164965968097,-0.03258063994728168,17,7
calib_no_repeat_control_symbolic_medium_01,induction_metric_calibration,calib_no_repeat_control,E F G H I J K L M, I, E, I,symbolic,medium,False,low_true_vs_control_logit_diff,Same initial vocabulary followed by distractors and no repeated prefix.,314,412,ok,,ok,19.16264533996582,15.47661304473877,3.686032295227051,3.0913697343885203e-06,7.750459742267023e-08,3.0138651369658503e-06,19,93
calib_frequency_trap_control_symbolic_medium_01,induction_metric_calibration,calib_frequency_trap_control,E F G H I I I I I, I, E, I,symbolic,medium,False,low_true_vs_control_logit_diff,Expected token frequency is high without the target induction structure.,314,412,ok,,ok,17.299213409423828,11.837514877319336,5.461698532104492,0.7468508064981799,0.00317138026997086,0.743679426228209,1,11
calib_clean_repeat_symbolic_symbolic_long_02,induction_metric_calibration,calib_clean_repeat_symbolic,N P Q R S T N P Q R S, T, N, T,symbolic,long,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,309,399,ok,,ok,24.362926483154297,15.459827423095703,8.903099060058594,0.9919373356590944,0.00013487064778025951,0.9918024650113141,1,12
calib_clean_repeat_format_variant_symbolic_long_02,induction_metric_calibration,calib_clean_repeat_format_variant,"N P Q R S T
N P Q R S", T, N, T,symbolic,long,True,high_true_vs_control_logit_diff,Positive repeated-prefix prompt.,309,399,ok,,ok,28.483142852783203,17.99942970275879,10.483713150024414,0.9957868102646438,2.7870682160553314e-05,0.9957589395824832,1,26
calib_wrong_target_same_prompt_symbolic_long_02,induction_metric_calibration,calib_wrong_target_same_prompt,N P Q R S T N P Q R S, N, T, N,symbolic,long,False,low_true_vs_control_logit_diff,Same prompt but scored against a deliberately wrong target.,399,309,ok,,ok,15.459827423095703,24.362926483154297,-8.903099060058594,0.00013487064778025951,0.9919373356590944,-0.9918024650113141,12,1
calib_target_swap_control_symbolic_long_02,induction_metric_calibration,calib_target_swap_control,N P Q R S T N P Q R S, P, T, P,symbolic,long,False,low_true_vs_control_logit_diff,Same prompt with target swapped to another sequence token.,350,309,ok,,ok,17.76609992980957,24.362926483154297,-6.596826553344727,0.0013536888970478948,0.9919373356590944,-0.9905836467620465,2,1
calib_same_token_frequency_control_symbolic_long_02,induction_metric_calibration,calib_same_token_frequency_control,N P Q R S T S N P, T, N, T,symbolic,long,False,low_true_vs_control_logit_diff,Approximate token counts preserved without repeated-prefix structure.,309,399,ok,,ok,14.104474067687988,12.293327331542969,1.8111467361450195,0.012988718724179648,0.002123221379722881,0.010865497344456767,2,8
calib_reversed_order_control_symbolic_long_02,induction_metric_calibration,calib_reversed_order_control,N P Q R S T S R Q P N, T, N, T,symbolic,long,False,low_true_vs_control_logit_diff,Repeated material appears in reversed order.,309,399,ok,,ok,14.96998405456543,13.589668273925781,1.3803157806396484,0.049296439692407004,0.012398011298661167,0.03689842839374584,3,9
calib_no_repeat_control_symbolic_long_02,induction_metric_calibration,calib_no_repeat_control,N P Q R S T U V W X Y, T, N, T,symbolic,long,False,low_true_vs_control_logit_diff,Same initial vocabulary followed by distractors and no repeated prefix.,309,399,ok,,ok,11.067667007446289,10.800111770629883,0.26755523681640625,2.225539248995617e-05,1.7030895918326223e-05,5.224496571629949e-06,42,53
