id,construct,split,decoupling_axis,label,prompt,class_a_target,class_b_target,logit_diff,signed_logit_diff,correct,flag,notes
certainty_decoupling_contrast_005_class_b,certainty,decoupling,contrast,class_b,"The puzzle initially looked obvious, but after the contradiction it was", obvious, ambiguous,5.996954917907715,-5.996954917907715,False,strong_model_disagreement,
certainty_decoupling_format_shift_005_class_b,certainty,decoupling,format_shift,class_b,"Problem sheet
Without the answer key, the next step is", obvious, ambiguous,5.257821083068848,-5.257821083068848,False,strong_model_disagreement,
certainty_train_ordinary_002_class_b,certainty,train,ordinary,class_b,"With measurements varying across trials, the conclusion is", clear, unclear,5.225475311279297,-5.225475311279297,False,strong_model_disagreement,
certainty_decoupling_contrast_002_class_b,certainty,decoupling,contrast,class_b,"The opening paragraph sounded clear, but the appendix made the rule", clear, unclear,5.1038408279418945,-5.1038408279418945,False,strong_model_disagreement,
certainty_heldout_ordinary_010_class_b,certainty,heldout,ordinary,class_b,"With one premise unstated, the inference is", obvious, ambiguous,5.020306587219238,-5.020306587219238,False,strong_model_disagreement,
certainty_decoupling_negation_005_class_b,certainty,decoupling,negation,class_b,The solution was not obvious after the contradiction; it was, obvious, ambiguous,4.9258317947387695,-4.9258317947387695,False,strong_model_disagreement,
sentiment_decoupling_quotation_005_class_a,sentiment,decoupling,quotation,class_a,"The message repeated ""disappointing"", but the visit was", wonderful, disappointing,-4.65622091293335,-4.65622091293335,False,strong_model_disagreement,
certainty_decoupling_format_shift_002_class_b,certainty,decoupling,format_shift,class_b,"Evidence status: checks conflict
The conclusion is", clear, unclear,4.641802787780762,-4.641802787780762,False,strong_model_disagreement,
certainty_train_ordinary_012_class_b,certainty,train,ordinary,class_b,"The instructions allow several options, so the choice is", clear, unclear,4.366913795471191,-4.366913795471191,False,strong_model_disagreement,
certainty_decoupling_quotation_003_class_a,certainty,decoupling,quotation,class_a,"One blogger called the outcome ""doubtful"", but the official count made it", definite, doubtful,-4.169625282287598,-4.169625282287598,False,strong_model_disagreement,
certainty_decoupling_quotation_005_class_b,certainty,decoupling,quotation,class_b,"The article quoted the word ""obvious"", but the final diagram made it", obvious, ambiguous,4.136313438415527,-4.136313438415527,False,strong_model_disagreement,
sentiment_decoupling_format_shift_006_class_b,sentiment,decoupling,format_shift,class_b,"Product note: defects returned
Customer reaction:", great, terrible,4.077325820922852,-4.077325820922852,False,strong_model_disagreement,
certainty_heldout_ordinary_018_class_a,certainty,heldout,ordinary,class_a,"The committee published the final tally, so passage is", definite, doubtful,-4.051667213439941,-4.051667213439941,False,strong_model_disagreement,
certainty_decoupling_negation_002_class_b,certainty,decoupling,negation,class_b,The evidence was not clear; the conclusion became, clear, unclear,3.8119125366210938,-3.8119125366210938,False,strong_model_disagreement,
certainty_train_ordinary_017_class_b,certainty,train,ordinary,class_b,"The diagram labels two similar parts, so the answer is", clear, unclear,3.732333183288574,-3.732333183288574,False,strong_model_disagreement,
sentiment_train_ordinary_029_class_b,sentiment,train,ordinary,class_b,The damaged painting looked, amazing, poor,3.6981000900268555,-3.6981000900268555,False,strong_model_disagreement,
sentiment_decoupling_negation_005_class_a,sentiment,decoupling,negation,class_a,The party was not disappointing; it was, wonderful, disappointing,-3.491755485534668,-3.491755485534668,False,strong_model_disagreement,
certainty_heldout_ordinary_015_class_b,certainty,heldout,ordinary,class_b,"The route has two faded arrows, so the turn is", obvious, ambiguous,3.442746162414551,-3.442746162414551,False,strong_model_disagreement,
certainty_train_ordinary_030_class_b,certainty,train,ordinary,class_b,"With two answer keys disagreeing, the correction is", obvious, ambiguous,3.270928382873535,-3.270928382873535,False,strong_model_disagreement,
certainty_train_ordinary_024_class_b,certainty,train,ordinary,class_b,"With one backup still missing, the engineer sounded", confident, hesitant,3.1495676040649414,-3.1495676040649414,False,strong_model_disagreement,
sentiment_train_ordinary_009_class_b,sentiment,train,ordinary,class_b,The concert sound mix was, amazing, poor,2.91861629486084,-2.91861629486084,False,strong_model_disagreement,
