head_label,candidate_id,candidate_group,final_status,mean_gap,mean_attention_effect_corr,control_moved,target_swap_leak,reversed_control_leak,domain_flip,length_flip,intervention_disagreement,position_mismatch,attention_effect_decoupled,ov_qk_local_only,negative_control_support,dominant_failure_modes,n_failure_modes,interpretation
L0H1,heldout_cand_005,prior_raw_attention_failed,falsified_candidate,-0.3224,0.036,0,0,0,0,0,0,0,1,1,0,"attention_effect_decoupled,ov_qk_local_only",2,L0H1 failed because attention/effect alignment was weak; OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L0H10,heldout_cand_007,prior_raw_attention_failed,falsified_candidate,-0.255,0.0112,0,0,0,0,0,0,0,1,1,0,"attention_effect_decoupled,ov_qk_local_only",2,L0H10 failed because attention/effect alignment was weak; OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L0H4,heldout_cand_009,prior_raw_attention_failed,falsified_candidate,0.0102,0.1285,0,0,0,0,0,0,0,0,1,0,ov_qk_local_only,1,L0H4 failed because OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L0H5,heldout_cand_006,prior_raw_attention_failed,falsified_candidate,-0.0932,-0.0048,0,0,0,0,0,0,0,1,1,0,"attention_effect_decoupled,ov_qk_local_only",2,L0H5 failed because attention/effect alignment was weak; OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L0H8,heldout_cand_004,replicated_candidate,falsified_candidate,-0.1949,0.0416,16,11,5,8,8,8,0,1,0,1,"control_moved,target_swap_leak,reversed_control_leak,domain_flip,length_flip",8,L0H8 failed because controls moved under the same intervention logic; wrong-target or target-swap controls leaked; reversed-order controls moved; token domain or sequence length changed the effect direction; intervention or position variants disagreed; attention/effect alignment was weak; negative-control support made the slice-level rule too permissive. Its consolidated status was `falsified_candidate`.
L11H0,heldout_cand_011,negative_control_no_effect,falsified_candidate,-0.0096,0.087,0,0,0,0,0,0,0,0,1,0,ov_qk_local_only,1,L11H0 failed because OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L11H7,heldout_cand_015,negative_control_nonspecific,falsified_candidate,-0.0152,-0.092,0,0,0,0,0,0,0,1,0,0,attention_effect_decoupled,1,L11H7 failed because attention/effect alignment was weak. Its consolidated status was `falsified_candidate`.
L11H8,heldout_cand_008,prior_raw_attention_failed,falsified_candidate,-0.1815,0.0124,0,0,0,0,0,0,0,1,0,0,attention_effect_decoupled,1,L11H8 failed because attention/effect alignment was weak. Its consolidated status was `falsified_candidate`.
L11H9,heldout_cand_014,negative_control_nonspecific,falsified_candidate,-0.0172,0.0892,0,0,0,0,0,0,0,0,1,0,ov_qk_local_only,1,L11H9 failed because OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
L4H1,heldout_cand_012,negative_control_no_effect,falsified_candidate,-0.0067,-0.064,0,0,0,0,0,0,0,1,1,0,"attention_effect_decoupled,ov_qk_local_only",2,L4H1 failed because attention/effect alignment was weak; OV/QK local diagnostics did not combine with causal specificity. Its consolidated status was `falsified_candidate`.
