date,run_dir,kind,model,hook_point,sae_release,sae_id,device,scale,claim_status,notes
2026-06-21,runs/diagnostic_negation_ravel_eval_density_matched,diagnostic_phase3_density_matched,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cpu,"per_family=2; top_k=2; density_matched_seeds=7/11/13",insufficient_evidence,"Real TransformerLens+SAELens decoded SAE path completed; 24 rows; zero top/control deltas; diagnostic scale only."
2026-06-21,runs/e002_negation_ravel_eval_pythia70m_deduped_l2_pf10_top5_density,serious_e002_gpu_density_matched,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"per_family=10; top_k=5; random+density+bottom controls",insufficient_evidence,"Completed on CUDA; 30 valid tasks; 240 rows; top target delta 0.0341995; top control delta 0.0546811; specificity gap -0.0204816."
2026-06-21,runs/diagnostics/zero_effect_diagnostic_negation_ravel_eval_density_matched,zero_effect_diagnosis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cpu,"diagnosed prior per_family=2 run",insufficient_evidence,"Labels: all_row_deltas_zero; decoded_delta_norm_zero_or_missing; task_baseline_not_calibrated."
2026-06-21,runs/diagnostics/check_decoded_sae_patch_nonzero,patch_sanity_old_ranking,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cpu,"top_k=2 on old diagnostic ranking",not_claim_run,"Selected features inactive on prompt; feature_delta_l1=0; logits unchanged."
2026-06-21,runs/diagnostics/check_decoded_sae_patch_nonzero_e002,patch_sanity_e002_ranking,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"top_k=5 on E002 ranking",not_claim_run,"Decoded patch nonzero; feature_delta_l1=0.629978; decoded_delta_norm=0.629978; max_abs_logit_delta=0.263366."
2026-06-21,runs/diagnostic_negation_ravel_eval_density_matched_ablate_amplify,diagnostic_ablate_amplify,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cpu,"per_family=2; top_k=2; ablate+amplify",insufficient_evidence,"48 rows; top target delta 0.0004797; top control delta 0; diagnostic scale only."
2026-06-21,runs/diagnostics/e002_task_calibration,artifact_analysis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,none,"reads E002 artifacts only",not_claim_run,"Baseline intended-direction pass 7/30; property_negation 0/10; candidate filters proposed but not applied by analyzer."
2026-06-21,runs/diagnostics/e002_feature_selection,artifact_analysis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,none,"reads E002 ranking/eval artifacts only",not_claim_run,"Diagnosis labels: target_effect_present_but_not_specific; control_effect_dominates."
2026-06-21,runs/e002_calibrated_intended_direction_top_abs,calibrated_variant,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"per_family=10; top_k=5; baseline-intended-direction; top-absolute",blocked,"Task calibration failed required family coverage: after counts property=0, sentiment=5, state=2."
2026-06-21,runs/e002_calibrated_margin_top_abs,calibrated_variant,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"per_family=10; top_k=5; baseline-margin 0.1; top-absolute",blocked,"Task calibration failed required family coverage: after counts property=0, sentiment=5, state=0."
2026-06-21,runs/e002_calibrated_intended_direction_top_positive,calibrated_variant,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"per_family=10; top_k=5; baseline-intended-direction; top-positive",blocked,"Task calibration failed before intervention rows; top-positive feature set selected but not evaluated."
2026-06-21,runs/diagnostics/e002_variant_comparison,artifact_analysis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,none,"compares original E002 plus three calibrated variants",not_claim_run,"Original remains insufficient_evidence; all calibrated variants blocked by task_calibration_failed."
2026-06-21,runs/e003_task_bank_calibration_pythia70m_margin0p1_min10,task_bank_calibration,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"240 candidates; min_margin=0.1; min_per_family=10",not_claim_run,"Calibration passed; kept property=10, sentiment=36, state=23; excluded baseline_wrong_direction=161 and baseline_margin_below_threshold=10."
2026-06-21,runs/e003_real_sae_ranking_pythia70m_l2_calibrated_pf10_top50,calibrated_sae_ranking,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"task_source=file; calibrated tasks=69; ranking_top_k=50",not_claim_run,"SAE ranking consumed calibrated task source; top features include sae_28096, sae_27702, sae_7457, sae_18575, sae_11811."
2026-06-21,runs/e003_negation_eval_pythia70m_l2_calibrated_pf10_top5_density,serious_e003_gpu_calibrated,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,cuda,"task_source=file; valid_tasks=69; top_k=5; random+density+bottom controls",insufficient_evidence,"Completed on CUDA; 552 rows; skipped=0; top target delta 0.627737; top control delta 0.718839; specificity gap -0.0911018."
2026-06-21,runs/diagnostics/e003_vs_e002_comparison,artifact_analysis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,none,"compares E002 uncalibrated vs E003 calibrated",not_claim_run,"Interpretation: calibration_fixed_task_suite_but_feature_specificity_still_failed; E003 baseline pass rate 1.0 but specificity gap worsened."
2026-06-24,runs/diagnostics/e003_specificity_failure,artifact_analysis,EleutherAI/pythia-70m-deduped,blocks.2.hook_resid_post,pythia-70m-deduped-res-sm,blocks.2.hook_resid_post,none,"reads E003 artifacts only",not_claim_run,"Labels include control_dominates_globally, control_dominates_specific_families, target_effect_present_but_nonspecific, true_negative_for_current_layer_feature_set."
2026-06-24,runs/e004_specificity_rescue_matrix,serious_e004_gpu_matrix,EleutherAI/pythia-70m-deduped,"blocks.1/2/3.hook_resid_post",pythia-70m-deduped-res-sm,"blocks.1/2/3.hook_resid_post",cuda,"15 cells; layers=1/2/3; modes=5; operations=ablate+amplify; control_suite=multi_control",insufficient_evidence,"Completed 15/15 cells; blocked=0; candidate=0; best aggregate block1 ensemble specificity gap 0.136176 but multi_control_min_gap -0.0194242 and family_min_gap -0.0900231."
2026-06-24,runs/e004_specificity_rescue_matrix/comparison,artifact_analysis,EleutherAI/pythia-70m-deduped,"blocks.1/2/3.hook_resid_post",pythia-70m-deduped-res-sm,"blocks.1/2/3.hook_resid_post",none,"compares 15 E004 cells against E003",not_claim_run,"Interpretation: current_sae_model_layer_search_insufficient; candidate_cells=0."
2026-06-24,runs/e004_specificity_rescue_matrix/forensics,artifact_analysis,EleutherAI/pythia-70m-deduped,"blocks.1/2/3.hook_resid_post",pythia-70m-deduped-res-sm,"blocks.1/2/3.hook_resid_post",none,"compares E003, best E004, and worst E004",not_claim_run,"Best E004 aggregate target=0.0708457 control=0.0416946 gap=0.0291512 across row-level forensics; claim status remains insufficient."
